Pseudociencia,Palabra,Frecuencia
Psicoanalisis,few,172.0
Psicoanalisis,small,162.0
Psicoanalisis,mental,147.0
Psicoanalisis,mental.,123.0
Psicoanalisis,center,101.0
Psicoanalisis,impossible,96.0
Psicoanalisis,subject,86.0
Psicoanalisis,sad,72.0
Psicoanalisis,mental,66.0
Psicoanalisis,Single,64.0
Psicoanalisis,evil,53.0
Psicoanalisis,missing,48.0
Psicoanalisis,missing,43.0
Psicoanalisis,stupidity,43.0
Psicoanalisis,sick,41.0
Psicoanalisis,absence,39.0
Psicoanalisis,dangerous,31.0
Psicoanalisis,little bit.,31.0
Psicomagia,little bit,39.0
Psicomagia,center,33.0
Rebirthing,disturbing,369.0
Rebirthing,past,267.0
Rebirthing,game,105.0
Rebirthing,corrupt,89.0
Rebirthing,FUCKING,78.0
Rebirthing,dead,66.0
Rebirthing,other,64.0
Rebirthing,center,61.0
Rebirthing,self,60.0
Rebirthing,any less,54.0
Rebirthing,black,50.0
Rebirthing,other,47.0
Rebirthing,down,46.0
Rebirthing,Black,40.0
Rebirthing,long,40.0
Rebirthing,DISGUSTING.,39.0
Rebirthing,least,38.0
Rebirthing,slow,35.0
Rebirthing,mean,33.0
Rebirthing,TRIES,30.0
Reiki,other,255.0
Reiki,long,180.0
Reiki,mental,146.0
Reiki,down,109.0
Reiki,hate,105.0
Reiki,any less,95.0
Reiki,Black,89.0
Reiki,heavy,82.0
Reiki,negative,78.0
Reiki,Green,60.0
Reiki,little bit,52.0
Reiki,shit,52.0
Reiki,# Cold cold,43.0
Reiki,other,42.0
Reiki,distant,33.0
Reiki,#Depress,32.0
Reiki,#Mental,32.0
Terapias de conversacion,any less,192.0
Terapias de conversacion,violent,143.0
Terapias de conversacion,Sick,63.0
astrologia,other,428.0
astrologia,little bit,417.0
astrologia,any less,353.0
astrologia,other,272.0
astrologia,serious,181.0
astrologia,shit,152.0
astrologia,past,128.0
astrologia,firm,87.0
astrologia,They expected.,85.0
astrologia,other,80.0
astrologia,Shit,63.0
astrologia,false.,55.0
astrologia,other,52.0
astrologia,impassive,35.0
bioneuroemocion,other,237.0
bioneuroemocion,single,226.0
bioneuroemocion,past,201.0
bioneuroemocion,imitation.,154.0
bioneuroemocion,We get sick,121.0
bioneuroemocion,past,113.0
bioneuroemocion,active,108.0
bioneuroemocion,mentally,108.0
bioneuroemocion,slows down,108.0
bioneuroemocion,single,100.0
bioneuroemocion,wasted,100.0
bioneuroemocion,base,65.0
bioneuroemocion,serious,62.0
bioneuroemocion,insulting,60.0
bioneuroemocion,dangerous,60.0
bioneuroemocion,dangerous,34.0
bioneuroemocion,dangerous,32.0
bioneuroemocion,half,31.0
bioneuroemocion,other,30.0
coaching,game,2379.0
coaching,other,952.0
coaching,down,731.0
coaching,game.,529.0
coaching,hard,496.0
coaching,poor,473.0
coaching,long,456.0
coaching,past,387.0
coaching,little,370.0
coaching,worst,357.0
coaching,least,343.0
coaching,half,333.0
coaching,terrible,332.0
coaching,worse,316.0
coaching,mean,299.0
coaching,mental,260.0
coaching,spent,260.0
coaching,game,247.0
coaching,less,233.0
coaching,sucks,229.0
coaching,wrong,205.0
coaching,awful,196.0
coaching,behind,189.0
coaching,fucking,181.0
coaching,horrible,175.0
coaching,small,171.0
coaching,center,152.0
coaching,extremely,144.0
coaching,Black,139.0
coaching,unfair,129.0
coaching,Game,111.0
coaching,bad.,107.0
coaching,failed,98.0
coaching,Terrible,96.0
coaching,serious,91.0
coaching,stupid,89.0
coaching,limited,88.0
coaching,difficult,86.0
coaching,base,86.0
coaching,black,84.0
coaching,dumb,84.0
coaching,mediocre,76.0
coaching,average,76.0
coaching,failure,76.0
coaching,common,68.0
coaching,seriously,65.0
coaching,sorry,65.0
coaching,Horrible,60.0
coaching,Long,59.0
coaching,slow,58.0
coaching,minor,57.0
coaching,wrong.,55.0
coaching,crap,55.0
coaching,killed,53.0
coaching,closed,51.0
coaching,hard,46.0
coaching,Hard,44.0
coaching,hard.,43.0
coaching,broken,43.0
coaching,unfortunately,39.0
coaching,rank,38.0
coaching,other.,36.0
coaching,waste,35.0
coaching,rough,35.0
coaching,frustrated,34.0
coaching,impossible,33.0
coaching,flat,32.0
constelaciones familiares,past,614.0
constelaciones familiares,other,205.0
constelaciones familiares,OTHER,160.0
constelaciones familiares,Other,118.0
constelaciones familiares,other,118.0
constelaciones familiares,dangerous,110.0
constelaciones familiares,any less,99.0
constelaciones familiares,dangerous,98.0
constelaciones familiares,dry,95.0
constelaciones familiares,single,92.0
constelaciones familiares,dangerous,83.0
constelaciones familiares,serious:,83.0
constelaciones familiares,little bit,81.0
constelaciones familiares,We drag,67.0
constelaciones familiares,victim,66.0
constelaciones familiares,painful,66.0
constelaciones familiares,destroy,62.0
constelaciones familiares,mental,55.0
constelaciones familiares,obsessed,48.0
constelaciones familiares,Other,48.0
constelaciones familiares,alleged,38.0
constelaciones familiares,Waste,35.0
constelaciones familiares,worse,32.0
constelaciones familiares,#Stoppseudosciences,30.0
constelaciones familiares,Unfortunately,30.0
constelaciones familiares,complicated,30.0
constelaciones familiares,??Single,30.0
dianetica,base,56.0
flores de bach,loose.,183.0
flores de bach,Other,183.0
flores de bach,other,91.0
flores de bach,Forced,90.0
flores de bach,little bit,66.0
flores de bach,hate,56.0
flores de bach,difficult,54.0
flores de bach,mental,52.0
flores de bach,other,48.0
flores de bach,center,40.0
flores de bach,hard,37.0
flores de bach,any less,35.0
flores de bach,blind,30.0
grafologia,Closed,333.0
grafologia,other,129.0
grafologia,Closed,67.0
grafologia,center,41.0
grafologia,due,35.0
grafologia,bad,33.0
grafologia,single,32.0
grafologia,little,31.0
grafologia,"past"""".",31.0
homeopatia,absence,1761.0
homeopatia,any less,995.0
homeopatia,past,954.0
homeopatia,propaganda,933.0
homeopatia,With,479.0
homeopatia,worse,452.0
homeopatia,base,320.0
homeopatia,little bit,288.0
homeopatia,other,274.0
homeopatia,other,208.0
homeopatia,any less.,149.0
homeopatia,single,135.0
homeopatia,expensive,130.0
homeopatia,suffers,126.0
homeopatia,single,125.0
homeopatia,mental,122.0
homeopatia,worse.,114.0
homeopatia,blind,101.0
homeopatia,other),94.0
homeopatia,criminal.,90.0
homeopatia,blind,84.0
homeopatia,little,83.0
homeopatia,mental,81.0
homeopatia,bass,77.0
homeopatia,shit,74.0
homeopatia,Blind.,72.0
homeopatia,center,71.0
homeopatia,center,69.0
homeopatia,didactic.,68.0
homeopatia,addicted,66.0
homeopatia,The,64.0
homeopatia,fake,63.0
homeopatia,random,60.0
homeopatia,absurd,57.0
homeopatia,behind,56.0
homeopatia,shit,56.0
homeopatia,??Failure,56.0
homeopatia,dangerous,55.0
homeopatia,Shit,54.0
homeopatia,stupidity,54.0
homeopatia,secondary,52.0
homeopatia,round,52.0
homeopatia,dangerous,52.0
homeopatia,Down,51.0
homeopatia,Mental,50.0
homeopatia,Blind,48.0
homeopatia,spent,47.0
homeopatia,useless,47.0
homeopatia,other,45.0
homeopatia,hate,45.0
homeopatia,usually,44.0
homeopatia,false) ... with,43.0
homeopatia,other,43.0
homeopatia,mental,41.0
homeopatia,fake,41.0
homeopatia,go down,40.0
homeopatia,serious.,39.0
homeopatia,sad,38.0
homeopatia,Waste,38.0
homeopatia,a little,38.0
homeopatia,obsessed,36.0
homeopatia,Shit,35.0
homeopatia,curious,35.0
homeopatia,bad,35.0
homeopatia,sick,33.0
homeopatia,poor,33.0
homeopatia,sick,31.0
homeopatia,waste.,31.0
homeopatia,behind.,31.0
homeopatia,idiot,30.0
homeopatia,ridiculous,30.0
homeopatia,active,30.0
remedios caseros,little bit,256.0
remedios caseros,sick,225.0
remedios caseros,terrible,167.0
remedios caseros,go down,134.0
remedios caseros,any less,112.0
remedios caseros,cold,101.0
remedios caseros,worse,92.0
remedios caseros,unpleasant,90.0
remedios caseros,other,89.0
remedios caseros,usually,86.0
remedios caseros,ill,84.0
remedios caseros,hate,78.0
remedios caseros,single,71.0
remedios caseros,ill,67.0
remedios caseros,sick,65.0
remedios caseros,serious.,60.0
remedios caseros,common,56.0
remedios caseros,any less,53.0
remedios caseros,unpleasant,51.0
remedios caseros,bad,47.0
remedios caseros,due,47.0
remedios caseros,sick,45.0
remedios caseros,single,43.0
remedios caseros,other,42.0
remedios caseros,dry,41.0
remedios caseros,dark,40.0
remedios caseros,center,37.0
remedios caseros,worse,37.0
remedios caseros,uncomfortable,36.0
remedios caseros,usual??,36.0
remedios caseros,excessive,33.0
remedios caseros,uncomfortable,33.0
remedios caseros,uncomfortable,32.0
terapia gestalt,dangerous?,1037.0
terapia gestalt,center,183.0
terapia gestalt,center,165.0
terapia gestalt,other,164.0
terapia gestalt,??,147.0
terapia gestalt,base,80.0
terapia gestalt,other,51.0
terapia gestalt,other,40.0
terapia gestalt,y,38.0
terapia gestalt,mental,37.0
terapia gestalt,Waste,35.0
terapia gestalt,little bit,32.0
